name,description,instruction,ingredients,meal_type,allergen,total_calories,protein,carbs,fats,meal_difficulty,meal_cooking_time,meal_cooking_method,country_origin,diet_type
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,histamine intolerance,740,14.98,60.19,13.32,easy,48 min,grilling,Morocco,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,histamine intolerance,350,14.19,46.74,10.16,easy,34 min,baking,Italy,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,salicylate sensitivity,771,30.62,66.99,28.13,medium,33 min,roasting,Japan,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,salicylate sensitivity,757,37.83,87.88,26.31,medium,40 min,baking,France,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,salicylate sensitivity,740,32.84,55.69,12.47,hard,17 min,grilling,USA,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,salicylate sensitivity,657,18.66,56.78,19.33,medium,31 min,frying,USA,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,salicylate sensitivity,378,21.42,40.3,7.68,easy,35 min,boiling,Morocco,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,salicylate sensitivity,793,12.07,86.07,22.27,hard,58 min,raw,Italy,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,salicylate sensitivity,471,18.91,22.2,22.76,medium,55 min,frying,India,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,salicylate sensitivity,668,21.73,80.26,25.53,easy,29 min,steaming,Greece,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,salicylate sensitivity,491,21.44,39.2,13.73,easy,24 min,frying,India,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,salicylate sensitivity,692,24.83,51.14,16.11,medium,43 min,raw,France,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,salicylate sensitivity,788,16.14,53.59,20.66,hard,53 min,raw,Mexico,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,salicylate sensitivity,616,16.55,58.03,22.07,medium,51 min,grilling,Morocco,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,salicylate sensitivity,275,18.91,22.0,25.08,easy,12 min,grilling,Japan,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,salicylate sensitivity,339,30.4,89.77,14.11,medium,20 min,raw,Lebanon,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,salicylate sensitivity,656,12.15,21.8,6.06,easy,49 min,steaming,Thailand,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,artificial food coloring allergy,415,23.71,89.33,29.53,medium,46 min,roasting,Thailand,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,artificial food coloring allergy,720,33.37,53.7,26.99,medium,13 min,steaming,Greece,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,artificial food coloring allergy,661,30.53,48.38,28.73,hard,58 min,steaming,Mexico,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,artificial food coloring allergy,426,15.22,44.65,29.25,easy,24 min,raw,USA,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,artificial food coloring allergy,412,30.13,55.61,23.07,hard,27 min,grilling,USA,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,artificial food coloring allergy,438,21.24,35.98,26.24,hard,44 min,baking,Mexico,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,artificial food coloring allergy,685,18.87,27.06,21.23,hard,51 min,roasting,Greece,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,artificial food coloring allergy,692,16.8,45.37,21.41,hard,11 min,grilling,Italy,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,artificial food coloring allergy,695,28.03,57.69,18.93,medium,51 min,baking,USA,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,artificial food coloring allergy,704,39.71,36.62,26.52,easy,28 min,steaming,Italy,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,artificial food coloring allergy,777,32.11,82.16,21.84,easy,18 min,steaming,Greece,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,artificial food coloring allergy,777,16.22,24.75,16.35,medium,28 min,roasting,Mexico,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,artificial food coloring allergy,261,37.69,67.07,26.87,medium,40 min,boiling,Thailand,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,artificial food coloring allergy,449,17.86,83.1,18.73,hard,47 min,steaming,Italy,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,artificial food coloring allergy,708,10.82,71.47,7.23,medium,36 min,baking,Italy,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,latex-fruit syndrome,656,17.51,23.72,8.97,easy,13 min,boiling,Italy,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,latex-fruit syndrome,337,19.4,88.09,9.56,hard,50 min,raw,Japan,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,latex-fruit syndrome,654,26.16,79.08,11.5,medium,11 min,grilling,Japan,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,latex-fruit syndrome,582,26.96,83.7,28.56,medium,56 min,raw,Italy,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,latex-fruit syndrome,423,27.79,49.81,14.27,medium,13 min,steaming,Japan,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,latex-fruit syndrome,441,37.07,48.57,16.94,medium,46 min,baking,USA,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,latex-fruit syndrome,800,37.81,60.5,17.8,hard,28 min,frying,Thailand,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,latex-fruit syndrome,250,16.49,39.37,12.21,medium,10 min,frying,Japan,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,latex-fruit syndrome,724,26.54,43.24,14.89,easy,48 min,boiling,Thailand,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,latex-fruit syndrome,548,33.38,41.07,16.15,easy,14 min,steaming,Japan,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,latex-fruit syndrome,497,16.94,39.53,20.24,medium,36 min,roasting,Greece,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,latex-fruit syndrome,575,10.85,98.66,25.8,medium,54 min,grilling,Morocco,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,latex-fruit syndrome,798,26.24,84.04,25.78,easy,32 min,baking,India,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,latex-fruit syndrome,358,24.59,72.38,25.75,medium,40 min,raw,Lebanon,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,latex-fruit syndrome,388,28.1,53.81,7.05,medium,24 min,baking,France,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,bee pollen/honey allergy,581,29.22,39.68,24.53,hard,40 min,grilling,France,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,bee pollen/honey allergy,599,22.05,96.31,19.06,hard,36 min,frying,Greece,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,bee pollen/honey allergy,738,16.81,93.1,19.24,hard,18 min,roasting,Lebanon,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,bee pollen/honey allergy,741,35.29,89.19,7.5,hard,28 min,baking,Japan,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,bee pollen/honey allergy,726,32.97,30.41,17.62,medium,20 min,grilling,Mexico,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,bee pollen/honey allergy,405,27.3,52.93,16.4,hard,35 min,frying,Japan,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,bee pollen/honey allergy,694,15.43,98.71,14.37,hard,34 min,raw,India,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,bee pollen/honey allergy,580,38.56,70.5,6.71,hard,54 min,frying,Italy,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,bee pollen/honey allergy,757,33.38,93.23,19.31,easy,59 min,frying,Italy,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,bee pollen/honey allergy,639,31.21,73.69,22.2,easy,54 min,frying,Lebanon,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,bee pollen/honey allergy,553,38.44,21.08,12.47,hard,18 min,baking,Lebanon,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,bee pollen/honey allergy,275,13.41,96.64,24.84,medium,18 min,roasting,Mexico,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,bee pollen/honey allergy,442,29.32,40.82,20.1,easy,33 min,baking,India,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,bee pollen/honey allergy,628,24.48,22.31,9.13,easy,26 min,frying,Lebanon,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,bee pollen/honey allergy,794,11.73,99.96,10.15,easy,48 min,frying,France,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,cocoa allergy,275,19.89,78.95,7.51,easy,19 min,boiling,Thailand,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,cocoa allergy,574,16.69,25.61,27.94,easy,12 min,baking,Greece,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,cocoa allergy,280,11.93,78.85,20.5,medium,24 min,boiling,Greece,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,cocoa allergy,324,37.24,85.19,9.45,hard,36 min,roasting,Italy,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,cocoa allergy,547,11.5,66.79,23.98,medium,60 min,roasting,Lebanon,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,cocoa allergy,377,32.28,80.28,24.0,hard,48 min,baking,Thailand,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,cocoa allergy,701,30.57,48.93,17.93,hard,24 min,roasting,Morocco,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,cocoa allergy,361,27.37,53.71,21.1,hard,13 min,boiling,Mexico,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,cocoa allergy,646,12.46,26.29,21.57,medium,48 min,boiling,India,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,cocoa allergy,587,23.55,75.15,16.9,medium,58 min,boiling,India,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,cocoa allergy,744,13.85,67.83,16.0,medium,15 min,raw,Japan,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,cocoa allergy,442,14.71,65.42,15.86,medium,55 min,grilling,Italy,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,cocoa allergy,321,24.39,78.85,14.48,medium,27 min,boiling,France,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,cocoa allergy,392,25.56,86.68,12.98,easy,50 min,raw,France,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,cocoa allergy,610,10.61,99.49,27.45,easy,13 min,steaming,Lebanon,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,mint allergy,655,26.09,26.94,17.04,medium,16 min,steaming,Japan,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,mint allergy,609,23.39,28.14,14.04,hard,53 min,roasting,Morocco,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,mint allergy,345,27.5,90.94,12.57,medium,31 min,steaming,Morocco,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,mint allergy,797,39.67,60.19,20.32,hard,19 min,grilling,India,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,mint allergy,795,22.01,79.91,21.22,easy,39 min,boiling,Thailand,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,mint allergy,701,11.6,55.83,22.71,hard,25 min,boiling,USA,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,mint allergy,332,34.82,94.33,20.97,medium,16 min,steaming,USA,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,mint allergy,366,20.04,52.14,12.65,hard,55 min,grilling,Thailand,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,mint allergy,565,23.45,26.12,29.6,medium,17 min,frying,Japan,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,mint allergy,788,28.38,78.41,15.8,hard,58 min,steaming,Greece,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,mint allergy,688,33.7,57.63,16.77,easy,39 min,baking,Mexico,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,mint allergy,290,31.82,54.0,17.32,easy,21 min,steaming,Mexico,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,mint allergy,307,29.69,27.44,13.41,hard,21 min,grilling,Japan,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,mint allergy,619,34.98,71.43,15.26,easy,35 min,baking,Lebanon,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,mint allergy,294,24.31,71.83,19.09,medium,29 min,grilling,Lebanon,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,bromelain allergy,254,18.55,60.89,28.77,medium,14 min,raw,Mexico,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,bromelain allergy,438,28.43,73.51,23.15,easy,26 min,raw,Mexico,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,bromelain allergy,518,28.73,42.45,25.75,medium,41 min,raw,Italy,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,bromelain allergy,526,11.71,56.92,11.64,medium,31 min,frying,Thailand,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,bromelain allergy,435,14.84,66.68,20.31,easy,36 min,grilling,India,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,bromelain allergy,785,36.05,51.99,27.44,medium,46 min,boiling,Japan,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,bromelain allergy,707,13.19,72.07,17.17,easy,60 min,grilling,Lebanon,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,bromelain allergy,753,13.73,82.56,28.67,medium,10 min,raw,Thailand,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,bromelain allergy,607,18.37,50.67,22.35,hard,10 min,roasting,France,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,bromelain allergy,724,35.61,90.84,12.46,hard,50 min,baking,Japan,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,bromelain allergy,300,33.72,76.65,7.81,medium,14 min,baking,Morocco,['general']
